epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,4861.7,0.40037,0.33681,0.92338,0.98505,0.90947,0.94977,0.88931,0.39934,0.40031,0.86845,0.0001684,0.0001684,0.0001684
86,4918.04,0.39162,0.32267,0.92565,0.98314,0.91375,0.95415,0.89486,0.38113,0.37262,0.86951,0.0001585,0.0001585,0.0001585
87,4975.25,0.38681,0.3357,0.92004,0.99026,0.90608,0.95221,0.89143,0.38007,0.3727,0.8708,0.0001486,0.0001486,0.0001486
88,5031.38,0.37858,0.32045,0.91553,0.99144,0.90608,0.94721,0.88419,0.38205,0.38587,0.87217,0.0001387,0.0001387,0.0001387
89,5087.36,0.37831,0.3141,0.91381,0.99839,0.9034,0.94944,0.88893,0.36938,0.38128,0.86527,0.0001288,0.0001288,0.0001288
90,5143.72,0.36949,0.30349,0.90819,0.99671,0.90335,0.95212,0.89127,0.35892,0.36535,0.85713,0.0001189,0.0001189,0.0001189
91,5200.94,0.26562,0.21419,0.83086,0.98869,0.90471,0.94973,0.89392,0.36519,0.36502,0.8577,0.000109,0.000109,0.000109
92,5257.09,0.26586,0.20995,0.83075,0.97452,0.91265,0.9487,0.89887,0.35994,0.38176,0.85742,9.91e-05,9.91e-05,9.91e-05
93,5316.98,0.25972,0.20452,0.8324,0.98231,0.90955,0.95115,0.89926,0.36516,0.3701,0.85884,8.92e-05,8.92e-05,8.92e-05
94,5373.34,0.24861,0.19725,0.82975,0.99208,0.9075,0.95687,0.90819,0.35585,0.37311,0.8505,7.93e-05,7.93e-05,7.93e-05
95,5436.43,0.25094,0.19619,0.8256,0.99302,0.90049,0.95385,0.90331,0.35171,0.3479,0.84954,6.94e-05,6.94e-05,6.94e-05
96,5492.47,0.24717,0.19374,0.82441,0.97808,0.92289,0.95798,0.90514,0.35481,0.33324,0.85706,5.95e-05,5.95e-05,5.95e-05
97,5548.36,0.24553,0.1946,0.81956,0.99325,0.90646,0.957,0.90289,0.35102,0.35146,0.85604,4.96e-05,4.96e-05,4.96e-05
98,5604.27,0.23871,0.18957,0.82467,0.99169,0.89977,0.95383,0.9089,0.34558,0.34752,0.85214,3.97e-05,3.97e-05,3.97e-05
99,5665.78,0.23913,0.19323,0.82132,0.99231,0.89977,0.95359,0.90581,0.34316,0.34942,0.85035,2.98e-05,2.98e-05,2.98e-05
100,5721.28,0.23524,0.18535,0.82512,0.99251,0.89977,0.95463,0.90906,0.34129,0.3565,0.84857,1.99e-05,1.99e-05,1.99e-05
